静か[な]	Quiet
大好き[な]	Love (someone/something)
好き[な]	Like
嫌い[な]	Hate
有名[な]	Famous
綺麗[な]	Pretty
青い	Blue
高い	Expensive
強い	Strong
速い	Fast (speed)
遅い	Late
不味い	Unappetizing
凄い	Amazing
忙しい	Busy
嬉しい	Happy (short-term)
辛い	Spicy
素晴らしい	Wonderful
新しい	New
楽しい	Fun
高い	Tall
黒い	Black
可愛い	Cute
暗い	Dark (light)
怖い	Scary
白い	White
暑い	Hot (weather)
安い	Cheap
黄色い	Yellow
難しい	Difficult
甘い	Sweet
美味しい	Delicious
赤い	Red
面白い	Funny (interesting)
悪い	Bad
きれい[な]	Tidy
小さい	Tiny (object)
悲しい	Sad
厚い	Thick
高い	High
寒い	Cold (weather)
暖かい	Warm (weather)
薄い	Thin (object)
易しい	Easy (to understand)
若い	Young
長い	Long (length)
明るい	Bright
つまらない	Boring
遅い	Slow
弱い	Weak
大きい	Large
空っぽ[な]	Empty
涼しい	Cool (weather)
最悪[な]	Worst (in rank/status)
湿る	to become damp
良い	Good
苛々[する]	To get irritated
醜い	Ugly
低い	Low (value)
古い	Old (object)
広い	Wide (spacious)
汚い	Dirty
軽い	Light (not heavy)
遠い	Far (distance)
単純[な]	Simple (minded/straightforward)
重い	Heavy
うるさい	Noisy
複雑[な]	Complicated
滑らか[な]	Smooth
粗い	Rough (coarse)
近い	Close (distance)
走る	to run
知る	To know
来る	To come
切る	To cut
入る	to enter
する	To do
行く	to go
遊ぶ	to play
勝つ	to win
言う	TO say
働く	to work
買う	To buy
飛ぶ	to fly
押す	To push
会う	to meet
書く	To write
置く	To put
嗅ぐ	To smell (sniff)
話す	To speak
履く	To wear (shoes)
穿く	To wear (pants)
泣く	TO cry
貸す	To lend
話す	To talk
置く	To place
支払う	To pay (formal)
読む	To read
持つ	To have (holding)
飲む	To drink
保つ	To keep
取る	To take
死ぬ	to die
選ぶ	To choose
引く	To pull
待つ	TO wait
歩く	to walk
乗る	to board (transportation)
聞く	To listen
運ぶ	To carry
入浴[する]	To bathe
学ぶ	TO learn
聞く	To ask (a question)
味わう	To taste
料理[する]	To cook
被る	To wear (hat)
使う	To use
運転[する]	To drive
作る	To make
終わる	to finish (come to an end)
落とす	To drop (object)
座る	to sit
立つ	to stand
思う	To think
思い出す	To recall
触る	TO touch (strongly)
止まる	to stop (an object)
笑う	to laugh
拾う	To pick up
柔らかい	Soft
硬い	Hard (to the touch)
踊る	to dance
持って[来る]	To bring along (an object)
優しい	Kind
真面目[な]	Serious (person)
帰る	to return home
変わる	to change
酸っぱい	Sour
聞く	To hear
かっこ[いい]	Cool
空く	to become empty (hunger)
売る	To sell
清潔[な]	Sanitary
もらう	To receive (you recipient (POV); went out of your way to receive it)
反対[する]	To disagree
現在	Current (time)
飛ぶ	to jump
やる	To do (casual)
落下[する]	To fall (person from up high)
殺す	To kill
狙う	To aim at
購入[する]	To purchase
入力[する]	To input
進む	to proceed
連れて[来る]	To bring along (someone)
頼む	To ask a favor
大変[な]	Terrible (situation)
賢い	Smart
わかる	to understand
欲しい	Wanting (an object)
いる	to need (an object)
必要[な]	Necessary
怒る	to get angry
ついて[くる]	To follow (person)
買い物[する]	To shop
役に立つ	to be useful (formal)
危ない	Dangerous (casual)
洗う	To wash
勉強[する]	To study (formal)
違う	to differ
元気[な]	Energetic
苦い	Bitter
電話[する]	To call (phone)
始まる	to start
返す	To return (an object)
旅行[する]	To travel
洗濯[する]	To do laundry
大切[な]	Important (formal)
細い	Slender
太い	Fat
短い	Short (length)
多い	Numerous
少ない	Fewer than normal
冷たい	Cold (to the touch / emotionally)
上がる	to rise
深い	Profound
恥ずかしい	Embarrasing
祈る	To wish
約束[する]	To promise
止む	to stop (weather)
寄る	to stop by
予定[する]	To plan (schedule)
十分[な]	Sufficient
いっぱい[な]	Full
美しい	Beautiful
残念[な]	Unfortunate
寂しい	Lonely
正しい	Correct
眠い	Sleepy
ひどい	Harsh
自由[な]	Freely
プレゼント[する]	To give a present
予約[する]	To reserve (a time/place)
祈る	To pray
準備[する]	To prepare
浅い	Superficial
厳しい	Strict
発明[する]	To invent
招待[する]	To invite
証明[する]	To prove
有利[な]	Advantageous
新鮮[な]	Fresh
転ぶ	to fall over
同一[な]	Identical
出会う	to meet (by chance)
同意[する]	to agree (with someone)
経験[する]	To experience
当たる	to strike (receiving the strike)
成功[する]	To succeed
平和[な]	Peacefull
継続[する]	To continue on
原因[する]	To cause
ペコペコ[な]	Starving
最高[な]	Best
明らか[な]	Obvious
起床[する]	To get out of bed
急激[な]	Sudden
新しい	Recent
独特[な]	Unique
特別[な]	Special
偉大[な]	Great
浅い	Shallow
深い	Deep
結婚[する]	to get married
散歩[する]	To stroll (go for a walk)
掃除[する]	To clean
きれい[な]	Clean
会話[する]	To converse
成る	to become
だめ[な]	Not good
試験[する]	To test
習う	To learn (from a teacher)
泳ぐ	to swim
完全[な]	Complete
恐ろしい	Terrifying
祝う	To celebrate
吸う	To smoke
吸う	To breath in
許す	To allow
冒険[する]	To adventure
呼ぶ	To call out to
動く	to move
頼む	To beg
歌う	TO sing
心配[する]	To worry
直す	To fix
おかしい	Strange
破壊[する]	To destroy
幸運[な]	Fortunate
準備[する]	To get ready
めんどくさい	Bothersome
守る	To protect
強大[な]	Mighty
強力[な]	Powerful
報告[する]	To report
急ぐ	TO hurry
戦う	to fight (against)
惜しい	Dissapointing
安心[する]	to be assured
気づく	to realize
なくす	To get rid of
失う	To lose (something serious; not by accident)
仕方ない	"There's no way (unavoidable)"
話し合う	To discuss
うんこ[する]	To poop
無駄[な]	Futile
完全[な]	Perfect
変[な]	Weird
勝利[する]	To be victorious
長い	Long (time)
失敗[する]	To fail
済む	to finish (get through to the end)
楽しむ	To enjoy
正直[な]	Honest
翻訳[する]	To translate (formal)
発音[する]	To pronounce
賛成[する]	to agree (to something)
寄付[する]	To donate
計画[する]	To plan (in steps)
食事[する]	to have a meal
出す	To take out
健康[な]	Healthy
出す	To put out
気持ち悪い	Gross (formal)
送る	To send
通る	To pass by
故障[する]	to be out of order (machine)
喧嘩[する]	To brawl
上る	to climb
練習[する]	To practice
足す	To add
吹く	To blow (breath/wind)
折る	To fold
構う	TO mind
打つ	To strike (initiating the strike)
探す	To search for
早い	Fast (time)
入る	to arrive (enter)
渡る	to cross (e.g river, street)
登山[する]	To ascend (e.g mountain)
